iter	RMSE
0	3.405429472
1	3.284229332
2	3.180568953
3	3.08775471
4	3.012262073
5	2.945427407
6	2.885399777
7	2.836569937
8	2.790871831
9	2.746945488
10	2.712195436
11	2.681331266
12	2.655676277
13	2.631081225
14	2.601195784
15	2.581635829
16	2.568426673
17	2.548644507
18	2.53140558
19	2.521751158
20	2.512321239
21	2.501080814
22	2.491878469
23	2.471516422
24	2.463966657
25	2.454495121
26	2.443302057
27	2.436452675
28	2.421468969
29	2.415684162
30	2.400845738
31	2.390871437
32	2.38700031
33	2.382299232
34	2.377041969
35	2.364944959
36	2.36108612
37	2.345069048
38	2.340713504
39	2.334283182
40	2.329804147
41	2.325832949
42	2.314005045
43	2.311729156
44	2.295170033
45	2.292538932
46	2.28548659
47	2.272984477
48	2.266010372
49	2.264128568
50	2.261730624
51	2.251052744
52	2.24798115
53	2.245824915
54	2.243515588
55	2.241027017
56	2.238927734
57	2.237228699
58	2.232858265
59	2.229449297
60	2.223492213
61	2.215903384
62	2.211016184
63	2.208107815
64	2.206484469
65	2.205400373
66	2.203688542
67	2.196793232
68	2.193382628
69	2.191445957
70	2.190142328
71	2.187890986
72	2.186671403
73	2.184025956
74	2.179819984
75	2.177843879
76	2.175841672
77	2.174718408
78	2.168559185
79	2.167049371
80	2.165047941
81	2.163492582
82	2.157946923
83	2.156756427
84	2.15540746
85	2.154172824
86	2.150410162
87	2.149850629
88	2.147433161
89	2.146142323
90	2.134929625
91	2.132092374
92	2.131323072
93	2.130056997
94	2.1290563
95	2.125146506
96	2.124271669
97	2.123645481
98	2.122030565
99	2.119816575
