iter	Passed	Remaining
0	1794	177611
1	3411	167143
2	5085	164416
3	6752	162063
4	8529	162062
5	10261	160770
6	12003	159472
7	13737	157981
8	15598	157720
9	17438	156946
10	19184	155221
11	21195	155431
12	23077	154438
13	24846	152628
14	26561	150517
15	28339	148780
16	30104	146983
17	31863	145156
18	33573	143128
19	35287	141149
20	36969	139077
21	38653	137042
22	40302	134924
23	42162	133515
24	44035	132107
25	46460	132233
26	48306	130606
27	50131	128909
28	52051	127435
29	53831	125606
30	55538	123617
31	57247	121651
32	58971	119730
33	60669	117769
34	62341	115777
35	64145	114036
36	65886	112185
37	67716	110484
38	69475	108666
39	71169	106754
40	72864	104853
41	74557	102960
42	76475	101374
43	78290	99641
44	80106	97908
45	81942	96193
46	83746	94437
47	85602	92735
48	87386	90953
49	89164	89164
50	90897	87333
51	92672	85544
52	94394	83708
53	96186	81936
54	98022	80200
55	99745	78371
56	101461	76541
57	103159	74701
58	104922	72912
59	106631	71087
60	108354	69276
61	110180	67530
62	111908	65723
63	113671	63940
64	115376	62125
65	117111	60330
66	118836	58531
67	120682	56791
68	122468	55022
69	124201	53229
70	125986	51459
71	127691	49657
72	129422	47868
73	131129	46072
74	132875	44291
75	134583	42500
76	136282	40707
77	138008	38925
78	139655	37123
79	141419	35354
80	143193	33588
81	144941	31816
82	146646	30036
83	148341	28255
84	150056	26480
85	151766	24706
86	153524	22940
87	155256	21171
88	156914	19393
89	158590	17621
90	160320	15855
91	162045	14090
92	163775	12327
93	165525	10565
94	167260	8803
95	168932	7038
96	170719	5279
97	172443	3519
98	174135	1758
99	175869	0
