# ----------------------------------------
# 1 Master View
# User Explorer
# 20160801-20170801
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1071704239.1484412669,2,00:03:10,0.00%,$234.16,2,400.00%
1073240909.1487180421,2,00:03:55,0.00%,$234.16,2,300.00%
1073518268.1481646866,4,00:09:36,0.00%,$234.16,2,250.00%
1073673252.1499477518,4,00:03:05,0.00%,$234.16,2,200.00%
1074548295.1493301594,2,00:05:30,0.00%,$234.16,2,300.00%
1075329355.1490157327,2,00:18:12,0.00%,$234.16,2,400.00%
1077452309.1482177147,4,00:24:27,0.00%,$234.16,2,300.00%
10792936.1497582446,4,00:03:03,0.00%,$234.16,2,150.00%
107982286.1481044662,2,00:06:43,0.00%,$234.16,2,500.00%
1080735982.1477981461,2,00:16:33,0.00%,$234.16,2,500.00%
10808836.1482850383,16,00:03:20,0.00%,$234.16,2,62.50%
1082258239.1482382150,4,00:11:05,0.00%,$234.16,2,200.00%
1082371639.1494364069,2,00:12:23,0.00%,$234.16,2,400.00%
1083596465.1484150982,4,00:04:11,0.00%,$234.16,2,150.00%
1083666038.1493422075,6,00:04:57,33.33%,$234.16,2,133.33%
1085677976.1484772613,2,00:08:11,0.00%,$234.16,2,400.00%
1087111520.1486960923,2,00:03:29,0.00%,$234.16,2,300.00%
109143799.1480899827,2,00:21:38,0.00%,$234.16,2,500.00%
109157119.1494959179,4,00:15:22,0.00%,$234.16,2,200.00%
1092558406.1494881496,4,00:09:29,0.00%,$234.16,2,300.00%
1100460054.1497051865,2,00:19:50,0.00%,$234.16,2,400.00%
1103791012.1491728156,2,00:06:49,0.00%,$234.16,2,300.00%
110505094.1488520844,18,00:04:05,22.22%,$234.16,2,66.67%
1108793834.1496346134,2,00:04:01,0.00%,$234.16,2,400.00%
111110541.1501012398,4,00:02:24,0.00%,$234.16,2,200.00%
1113221360.1482182028,4,00:19:51,0.00%,$234.16,2,150.00%
1126167620.1497992776,2,00:09:17,0.00%,$234.16,2,300.00%
112621362.1490502213,4,00:20:11,0.00%,$234.16,2,250.00%
113101134.1493232732,2,00:09:49,0.00%,$234.16,2,400.00%
113922409.1480356097,10,00:09:18,0.00%,$234.16,2,240.00%
114389459.1481414550,2,00:32:00,0.00%,$234.16,2,400.00%
114423063.1489443881,2,00:12:22,0.00%,$234.16,2,300.00%
118017206.1488171460,2,00:35:03,0.00%,$234.16,2,300.00%
11879039.1477942914,2,00:13:11,0.00%,$234.16,2,500.00%
120415774.1498188840,4,00:03:26,0.00%,$234.16,2,200.00%
121915305.1480206422,8,00:07:58,0.00%,$234.16,2,125.00%
122831752.1483602266,10,00:04:04,0.00%,$234.16,2,100.00%
123246386.1483166794,10,00:11:16,20.00%,$234.16,2,80.00%
127960643.1496987728,4,00:08:31,50.00%,$234.16,2,250.00%
130656473.1479272916,2,00:22:11,0.00%,$234.16,2,500.00%
131130068.1478063770,2,00:12:40,0.00%,$234.16,2,500.00%
13129765.1498943346,2,00:06:51,0.00%,$234.16,2,400.00%
132891030.1496598343,8,00:07:18,0.00%,$234.16,2,100.00%
133072603.1492650766,8,00:06:38,25.00%,$234.16,2,125.00%
133614959.1484172481,6,00:06:20,0.00%,$234.16,2,233.33%
134091551.1493352874,4,00:05:43,0.00%,$234.16,2,150.00%
135588491.1481334013,2,00:08:27,0.00%,$234.16,2,400.00%
13601207.1486580578,4,00:02:35,50.00%,$234.16,2,150.00%
139842274.1479398263,14,00:05:02,28.57%,$234.16,2,57.14%
140811834.1493142371,2,00:06:58,0.00%,$234.16,2,400.00%
142085576.1500347896,4,00:07:42,0.00%,$234.16,2,150.00%
143180084.1486315589,10,00:02:21,20.00%,$234.16,2,120.00%
143385119.1487403492,4,00:04:32,50.00%,$234.16,2,150.00%
143952834.1482952796,4,00:03:40,0.00%,$234.16,2,150.00%
146117054.1482189211,18,00:04:06,11.11%,$234.16,2,66.67%
147250150.1486432940,24,00:02:35,16.67%,$234.16,2,41.67%
147919491.1479311891,26,00:01:40,23.08%,$234.16,2,46.15%
149549453.1488504292,2,00:08:27,0.00%,$234.16,2,400.00%
150406512.1488854128,2,00:07:22,0.00%,$234.16,2,400.00%
15086523.1500731651,2,00:03:32,0.00%,$234.16,2,300.00%
151009473.1498499238,4,00:08:30,0.00%,$234.16,2,200.00%
151498500.1499804530,2,00:04:31,0.00%,$234.16,2,300.00%
153194742.1480622364,12,00:02:50,0.00%,$234.16,2,83.33%
154131789.1478539691,2,00:05:50,0.00%,$234.16,2,300.00%
155299943.1484354083,4,00:02:49,0.00%,$234.16,2,200.00%
157346914.1481764863,2,00:18:26,0.00%,$234.16,2,400.00%
160498897.1475174043,6,00:02:48,66.67%,$234.16,2,133.33%
163511789.1487735468,6,00:13:05,0.00%,$234.16,2,166.67%
164279771.1481827805,4,00:04:46,0.00%,$234.16,2,200.00%
164994825.1479741719,6,00:18:33,0.00%,$234.16,2,166.67%
165535154.1487278984,2,00:07:06,0.00%,$234.16,2,400.00%
166540875.1493147362,6,00:01:15,0.00%,$234.16,2,133.33%
166660183.1485124545,4,00:06:36,0.00%,$234.16,2,150.00%
166748518.1485904972,8,00:03:03,25.00%,$234.16,2,50.00%
166949733.1498772990,2,00:06:28,0.00%,$234.16,2,400.00%
169821348.1480977096,6,00:02:12,0.00%,$234.16,2,166.67%
170643401.1487089987,4,00:06:25,0.00%,$234.16,2,200.00%
170690347.1490052448,2,00:03:35,0.00%,$234.16,2,300.00%
171872319.1494216899,2,00:13:01,0.00%,$234.16,2,300.00%
174741153.1475531257,10,00:03:29,0.00%,$234.16,2,120.00%
175127207.1480523649,2,00:06:45,0.00%,$234.16,2,500.00%
17586317.1489792703,2,00:08:52,0.00%,$234.16,2,400.00%
177641797.1489712926,8,00:08:04,0.00%,$234.16,2,150.00%
178390523.1484879810,4,00:02:50,0.00%,$234.16,2,200.00%
178692826.1480193029,4,00:05:47,0.00%,$234.16,2,250.00%
178997408.1483678301,2,00:03:32,0.00%,$234.16,2,400.00%
179809833.1457399452,37,00:05:21,37.84%,$234.16,2,54.05%
180448254.1498594208,4,00:04:13,0.00%,$234.16,2,250.00%
