# ----------------------------------------
# 1 Master View
# User Explorer
# 20160801-20170801
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
816225459.1501540879,2,00:11:40,0.00%,$3.92,2,400.00%
851644379.1488772821,2,00:27:43,0.00%,$3.92,2,400.00%
891786805.1485382444,4,00:13:27,0.00%,$3.92,2,150.00%
952159518.1491324524,2,00:15:17,0.00%,$3.92,2,400.00%
999361431.1489693747,2,00:06:28,0.00%,$3.92,2,400.00%
386010339.1466223951,6,00:21:00,0.00%,$3.90,2,133.33%
170701156.1471471001,2,00:04:17,0.00%,$3.62,2,200.00%
166625585.1477009458,2,00:44:19,0.00%,$3.13,2,400.00%
424109383.1489538917,2,00:14:17,0.00%,$3.13,2,400.00%
50528262.1482277493,2,00:05:45,0.00%,$3.13,2,400.00%
228944755.1488644558,6,00:05:09,0.00%,$2.95,2,133.33%
68850846.1475102047,4,00:04:32,50.00%,$2.95,2,100.00%
838549385.1468870603,4,00:23:14,0.00%,$2.89,2,150.00%
213841824.1470196578,8,00:01:31,0.00%,$2.36,2,75.00%
349719658.1479606042,10,00:11:19,20.00%,$2.36,2,140.00%
538325222.1480976612,4,00:05:26,0.00%,$2.36,2,200.00%
374459594.1482259411,10,00:01:16,0.00%,$1.55,2,80.00%
706587841.1471996326,2,00:13:18,0.00%,$0.96,2,300.00%
499377740.1471642072,10,00:17:21,40.00%,$0.31,2,120.00%
171079120.1457677234,4,01:07:01,0.00%,$0.18,4,300.00%
426516520.1470705296,8,00:16:27,0.00%,$0.02,4,250.00%
