"Ad Set Name",Day,"Ad Set ID","Delivery Status","Delivery Level","Relevance Score","Campaign Name","CPM (Cost per 1,000 Impressions)",Reach,Impressions,"CTR (Link Click-Through Rate)","CPC (Cost per Link Click)","Amount Spent (USD)","Result Type","Cost per Result","Landing Page Views","Adds to Cart","Website Adds to Cart","Checkouts Initiated","Website Checkouts Initiated","Adds of Payment Info","Website Adds of Payment Info","Link Clicks","Website Purchases","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)","Reporting Starts","Reporting Ends"
"SG_shopping_1113 - ahaold - Copy 4",2018-11-25,23843041171310116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,6.69746215,8500,8984,1.4247551202137,0.47007813,60.17,"Website Purchases",60.17,111,22,22,16,16,1,1,128,1,49,0.81435932,2018-11-25,2018-11-25
"SG_shopping_1113 - ahaold - Copy 4",2018-11-26,23843041171310116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,6.07228664,9044,9573,1.1490650788676,0.52845455,58.13,"Website Purchases",58.13,87,8,8,4,4,1,1,110,1,49,0.84293824,2018-11-26,2018-11-26
"SG_shopping_1113 - ahaold - Copy 4",2018-11-23,23843041171310116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,6.72313762,8133,8618,1.6361104664655,0.41092199,57.94,"Website Purchases",19.313333333333,114,18,18,19,19,3,3,141,3,147,2.53710735,2018-11-23,2018-11-23
"SG_shopping_1113 - ahaold - Copy 4",2018-11-24,23843041171310116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,8.67887409,6250,6608,1.9824455205811,0.43778626,57.35,"Website Purchases",11.47,103,18,18,18,18,3,3,131,5,245,4.27201395,2018-11-24,2018-11-24
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-21,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,6.25547354,7905,7993,0.97585387213812,0.64102564,50,"Website Purchases",,63,12,12,9,9,,,78,,,,2018-11-21,2018-11-21
"EUgood_indie2%_only_1130 - aha1",2018-12-01,23843066303410116,active,adset,,ERL2-shopify-1130-EUtest,5.95742122,8314,8314,2.189078662497,0.27214286,49.53,"Website Purchases",49.53,132,10,10,5,5,1,1,182,1,49,0.98929941,2018-12-01,2018-12-01
"SG_shopping_1113 - ahaold - Copy 4",2018-11-22,23843041171310116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,4.98079518,9339,9633,1.1938129347036,0.41721739,47.98,"Website Purchases",11.995,99,19,19,17,17,4,4,115,4,196,4.08503543,2018-11-22,2018-11-22
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-23,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,10.34982175,4152,4488,2.517825311943,0.41106195,46.45,"Website Purchases",46.45,93,22,22,18,18,1,1,113,1,147,3.16469322,2018-11-23,2018-11-23
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-22,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,7.28544483,5995,6362,1.6661427224143,0.43726415,46.35,"Website Purchases",,86,14,14,9,9,,,106,,,,2018-11-22,2018-11-22
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-24,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,10.4663799,4152,4417,2.3092596785148,0.45323529,46.23,"Website Purchases",15.41,88,16,16,13,13,1,1,102,3,147,3.17975341,2018-11-24,2018-11-24
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-20,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,6.03717367,6783,7048,1.177639046538,0.5126506,42.55,"Website Purchases",42.55,68,9,9,9,9,,,83,1,49,1.15158637,2018-11-20,2018-11-20
US_indie1%_1023-land2-copy,2018-11-11,23843001730820116,inactive,adset,,ERL2-shopify-1023-USbasicopy,15.2559727,2531,2637,3.9438756162306,0.38682692,40.23,"Website Purchases",,87,3,3,3,3,,,104,,,,2018-11-11,2018-11-11
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-14,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,6.57401316,5809,6080,1.6118421052632,0.40785714,39.97,"Website Purchases",9.9925,88,21,21,18,18,3,3,98,4,196,4.90367776,2018-11-14,2018-11-14
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-15,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,7.2199095,5342,5525,1.5746606334842,0.45850575,39.89,"Website Purchases",,72,9,9,8,8,,,87,,,,2018-11-15,2018-11-15
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-25,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,8.32532888,4548,4789,1.9419503027772,0.42870968,39.87,"Website Purchases",39.87,74,10,10,7,7,1,1,93,1,49,1.22899423,2018-11-25,2018-11-25
"EUgood_ERLpurchase1%_only_1130 - aha1",2018-12-01,23843066303860116,active,adset,,ERL2-shopify-1130-EUtest,7.51951266,5138,5253,2.2463354273748,0.33474576,39.5,"Website Purchases",39.5,109,7,7,3,3,1,1,118,1,49,1.24050633,2018-12-01,2018-12-01
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-26,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,7.64915053,4841,5062,1.5408929276966,0.49641026,38.72,"Website Purchases",,63,6,6,3,3,,,78,,,,2018-11-26,2018-11-26
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-16,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,7.29123468,5004,5305,1.6211121583412,0.44976744,38.68,"Website Purchases",38.68,69,12,12,9,9,1,1,86,1,49,1.26680455,2018-11-16,2018-11-16
"SG_shopping_1112 - aha1110 - Copy 2",2018-11-13,23843038817540116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,5.73529412,6124,6528,1.2867647058824,0.44571429,37.44,"Website Purchases",12.48,71,14,14,12,12,3,3,84,3,147,3.92628205,2018-11-13,2018-11-13
US_ERLpurchase3%_1120-ahaold,2018-11-22,23843051910740116,inactive,adset,,ERL2-shopify-1119-Lookalike3%-test,11.56713956,2957,3031,2.5734081161333,0.44948718,35.06,"Website Purchases",35.06,65,3,3,5,5,1,1,78,1,49,1.39760411,2018-11-22,2018-11-22
US_ERLpurchase2%_1113-ahaold,2018-11-30,23843041211550116,inactive,adset,,ERL2-shopify-1113-Lookalike2%-test,19.07901907,1760,1835,3.5967302452316,0.53045455,35.01,"Website Purchases",,55,2,2,3,3,,,66,,,,2018-11-30,2018-11-30
