"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","Link Clicks","CPC (Cost per Link Click) (USD)","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-04-09,2018-04-09,US_wireless_0408-sport&outdoors,23842759346890761,62,11.77419355,,,,,50,Daily,0.73,,,,
2018-04-09,2018-04-09,"US_wireless_0408-textile - overlay",23842759612930761,8,11.25,,,,,30,Daily,0.09,,,,
2018-04-09,2018-04-09,"US_wireless_0408-woven - overlay",23842759612960761,14,22.14285714,,,,,30,Daily,0.31,,,,
2018-04-09,2018-04-09,"US_wireless_0408-sport&outdoors - overlay",23842759612940761,1688,13.07464455,0.53317535545024,9,2.45222222,7,30,Daily,22.07,,,,
2018-04-09,2018-04-09,US_wireless_0408-textile,23842759346240761,19,9.47368421,,,,,50,Daily,0.18,,,,
2018-04-09,2018-04-09,US_wireless_0408-woven,23842759341240761,2085,12.82494005,0.38369304556355,8,3.3425,4,50,Daily,26.74,,,,
2018-04-08,2018-04-08,"US_wireless_0408-sport&outdoors - overlay",23842759612940761,352,17.38636364,1.7045454545455,6,1.02,5,30,Daily,6.12,,,,
2018-04-08,2018-04-08,US_wireless_0408-woven,23842759341240761,860,16.1744186,1.046511627907,9,1.54555556,7,50,Daily,13.91,,,,
2018-04-08,2018-04-08,US_wireless_0408-sport&outdoors,23842759346890761,973,13.95683453,0.71942446043165,7,1.94,5,50,Daily,13.58,,,,
2018-04-08,2018-04-08,"US_wireless_0408-textile - overlay",23842759612930761,278,21.33093525,,,,,30,Daily,5.93,,,,
2018-04-08,2018-04-08,US_wireless_0408-textile,23842759346240761,846,15.42553191,0.59101654846336,5,2.61,5,50,Daily,13.05,,,,
2018-04-08,2018-04-08,"US_wireless_0408-woven - overlay",23842759612960761,329,18.23708207,0.60790273556231,2,3,1,30,Daily,6,,,,
2018-04-08,2018-04-08,"US_wireless_0404 - Copy",23842758410550761,1844,11.84381779,0.27114967462039,5,4.368,6,40,Daily,21.84,,,,
2018-04-07,2018-04-07,UK_wireless_0404,23842756240350761,1600,9.26875,0.9375,15,0.98866667,11,30,Daily,14.83,,,,
2018-04-07,2018-04-07,"US_wireless_0404 - Copy",23842758410550761,1401,15.46038544,1.2847965738758,18,1.20333333,14,40,Daily,21.66,,,,
2018-04-07,2018-04-07,US_wireless_0404,23842756240370761,1200,14.65833333,0.33333333333333,4,4.3975,2,30,Daily,17.59,,,,
2018-04-06,2018-04-06,UK_wireless_0404,23842756240350761,3147,9.29138862,0.50842071814426,16,1.8275,13,30,Daily,29.24,,,,
2018-04-06,2018-04-06,TH_wireless_0404,23842756240360761,1400,2.32857143,0.57142857142857,8,0.4075,6,30,Daily,3.26,,,,
2018-04-06,2018-04-06,US_wireless_0404,23842756240370761,1934,15.43433299,0.93071354705274,18,1.65833333,10,30,Daily,29.85,,,,
2018-04-05,2018-04-05,TH_wireless_0404,23842756240360761,12304,2.28218466,0.62581274382315,77,0.36467532,37,30,Daily,28.08,,,,
2018-04-05,2018-04-05,UK_wireless_0404,23842756240350761,3215,9.4992224,0.87091757387247,28,1.09071429,19,30,Daily,30.54,1,30.54,1.0805501,33
