"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-04-28,2018-04-28,"Asia_callback_0423-iphone x",23842887356400347,663,17.73755656,1.3574660633484,1.30666667,9,9,40,Daily,11.76,1,11.76,4.16666667,49
2018-04-28,2018-04-28,"World_callback_0423_wood - schedule",23842890151100347,1746,7.3997709,1.3745704467354,0.53833333,24,16,350,Lifetime,12.92,,,,
2018-04-28,2018-04-28,NA_video10sec1%_0463_wood,23842891508510347,2033,13.19232661,0.98376783079193,1.341,20,19,40,Daily,26.82,1,26.82,1.82699478,49
2018-04-28,2018-04-28,World_callback_0423_wood,23842887356380347,1645,7.84194529,1.580547112462,0.49615385,26,24,30,Daily,12.9,,,,
2018-04-28,2018-04-28,"Thai_survey5%_0406 - schedule",23842890141900347,3135,2.81658692,0.82934609250399,0.33961538,26,18,350,Lifetime,8.83,,,,
2018-04-28,2018-04-28,"Thai_survey1%_0414 - schedule",23842890141840347,2290,3.78165939,0.52401746724891,0.72166667,12,8,350,Lifetime,8.66,1,8.66,5.65819861,49
2018-04-28,2018-04-28,World_callback_0424,23842869970830347,3551,8.23711631,1.8023092086736,0.45703125,64,57,50,Daily,29.25,,,,
2018-04-28,2018-04-28,CA_survey1%_0420_wood,23842882979920347,1585,14.9148265,0.94637223974763,1.576,15,13,40,Daily,23.64,,,,
2018-04-28,2018-04-28,"Asia_callback_0423-iphone x - schedule",23842890151080347,559,17.42397138,0.35778175313059,4.87,2,1,350,Lifetime,9.74,,,,
2018-04-28,2018-04-28,Asia_callback_0130-0224,23842887356350347,1489,10.68502351,1.0073875083949,1.06066667,15,12,60,Daily,15.91,,,,
2018-04-28,2018-04-28,SEA_video10sec1%_0463_wood,23842891508720347,3860,2.27202073,0.88082901554404,0.25794118,34,24,40,Daily,8.77,,,,
2018-04-27,2018-04-27,World_callback_0424,23842869970830347,6941,6.22820919,1.5271574701052,0.40783019,106,83,50,Daily,43.23,1,43.23,1.13347213,49
2018-04-27,2018-04-27,"Asia_callback_0423-iphone x - schedule",23842890151080347,1626,20.66420664,1.0455104551046,1.97647059,17,16,350,Lifetime,33.6,1,33.6,1.45833333,49
