"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)"
2018-04-06,2018-04-06,"US_Allbackers2%_0327-Headshop - V",23842804449970248,0,0,,,,,30,Daily,0,,,,
2018-04-05,2018-04-05,"US_survey1%_0322-CTA  2",23842797792800248,2604,9.71198157,1.1136712749616,0.87206897,29,26,46,Daily,25.29,,,,
2018-04-05,2018-04-05,Asia_IDKS_0130-0224,23842749636850248,2919,5.00513875,1.5416238437821,0.32466667,45,39,40,Daily,14.61,2,7.305,98,6.70773443
2018-04-05,2018-04-05,AU_headphone_0321-pink,23842796050940248,1812,7.33443709,2.3730684326711,0.30906977,43,40,30,Daily,13.29,,,,
2018-04-05,2018-04-05,US_ERLADCT1%_0322-pink,23842797813510248,2329,8.31258051,1.0304851867754,0.80666667,24,23,36,Daily,19.36,,,,
2018-04-05,2018-04-05,"US_survey1%_0325-CTA  2 - cap",23842801993680248,97,6.90721649,,,,,300,Daily,0.67,,,,
2018-04-05,2018-04-05,"US_survey1%_0404-0418-CTA  2 - schedule - MBINS",23842812825300248,3387,9.0552111,1.1514614703277,0.78641026,39,41,460,Lifetime,30.67,2,15.335,98,3.19530486
2018-04-05,2018-04-05,"CA_survey5%_0331- V",23842809417830248,2329,10.81580077,1.0734220695578,1.0076,25,27,40,Daily,25.19,,,,
2018-04-05,2018-04-05,"CA_survey5%_0322-CTA  2",23842797880560248,5393,6.52141665,1.2608937511589,0.51720588,68,65,46,Daily,35.17,1,35.17,49,1.39323287
2018-04-05,2018-04-05,US_headphone_0321-pink,23842796083960248,2010,7.33333333,0.74626865671642,0.98266667,15,12,30,Daily,14.74,,,,
2018-04-05,2018-04-05,"MY_survey5%_0322-CTA  2 - Copy",23842814707400248,3073,2.23234624,0.52066384640417,0.42875,16,13,30,Daily,6.86,1,6.86,49,7.14285714
2018-04-05,2018-04-05,"US_survey1%_0331- V",23842809417770248,1001,16.78321678,0.8991008991009,1.86666667,9,9,30,Daily,16.8,1,16.8,49,2.91666667
2018-04-05,2018-04-05,"US_electronics_0319 - 0320 2",23842793620610248,1897,7.79652082,0.63257775434897,1.2325,12,11,30,Daily,14.79,,,,
2018-04-05,2018-04-05,"EU_ERLpurchase1%_0331-Headindie-MuMuText - Copy 2",23842809416980248,2874,6.85803758,1.2526096033403,0.5475,36,30,30,Daily,19.71,1,19.71,49,2.48604769
2018-04-05,2018-04-05,"US_ERLpurchase3%_0328-elechead - V-MuMu",23842805659750248,1107,20.51490515,1.4453477868112,1.419375,16,12,40,Daily,22.71,1,22.71,98,4.31527961
2018-04-05,2018-04-05,"Thai_survey5%_0322-CTA  2 - Copy",23842814713460248,4248,1.42890772,0.75329566854991,0.1896875,32,24,30,Daily,6.07,,,,
2018-04-05,2018-04-05,"US_electronics_0319 - Copy",23842792969990248,1744,8.48050459,0.7454128440367,1.13769231,13,11,30,Daily,14.79,,,,
