"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)"
2018-03-28,2018-03-28,ERL_US_ZF_0327_video_M,23842753372370055,1812,24.8013245,1.2141280353201,2.0427272727273,22,18,50,Daily,44.94,,,,
2018-03-27,2018-03-27,ERL_US_ZF_0325,23842751101740055,1694,16.66469894,1.1216056670602,1.4857894736842,19,17,50,Daily,28.23,,,,
2018-03-27,2018-03-27,ERL_US_ZF_0327_video_M,23842753372370055,839,19.91656734,0.59594755661502,3.342,5,6,50,Daily,16.71,,,,
2018-03-26,2018-03-26,ERL_US_Topcities_ZF_0325,23842751101760055,929,20.16146394,0.86114101184069,2.34125,8,8,30,Daily,18.73,,,,
2018-03-26,2018-03-26,ERL_US_ZF_0325,23842751101740055,2981,17.18215364,1.7443810801744,0.985,52,39,50,Daily,51.22,1,51.22,49,0.95665756
2018-03-25,2018-03-25,ERL_US_ZF_0325,23842751101740055,450,22.91111111,1.3333333333333,1.7183333333333,6,3,50,Daily,10.31,,,,
2018-03-25,2018-03-25,ERL_US_Topcities_ZF_0325,23842751101760055,193,33.57512953,1.0362694300518,3.24,2,2,30,Daily,6.48,,,,
2018-03-16,2018-03-16,"EU_ADDCARTLAL_1228 - 49",23842725694480055,1471,11.5771584,1.155676410605,1.0017647058824,17,10,30,Daily,17.03,,,,
2018-03-15,2018-03-15,"EU_ADDCARTLAL_1228 - 49",23842725694480055,2601,11.4994233,1.2687427912341,0.90636363636364,33,23,30,Daily,29.91,,,,
2018-03-15,2018-03-15,EU_ADDCARTLAL_0313-exclude,23842737032630055,1871,12.04703367,1.8706574024586,0.644,35,21,50,Daily,22.54,,,,
2018-03-14,2018-03-14,"AU_onlineshopping_0226 - 2",23842724296480055,2193,8.6000912,1.0487916096671,0.82,23,21,30,Daily,18.86,,,,
2018-03-14,2018-03-14,"EU_ADDCARTLAL_1228 - 49",23842725694480055,2953,9.96274975,0.94818828310193,1.0507142857143,28,23,30,Daily,29.42,,,,
2018-03-14,2018-03-14,EU_ADDCARTLAL_0313-exclude,23842737032630055,4449,10.78444594,0.96650932793886,1.1158139534884,43,36,50,Daily,47.98,,,,
2018-03-13,2018-03-13,"AU_onlineshopping_0226 - 2",23842724296480055,4697,6.22099212,0.89418777943368,0.69571428571429,42,40,30,Daily,29.22,1,29.22,49,1.67693361
2018-03-13,2018-03-13,EU_ADDCARTLAL_0313-exclude,23842737032630055,1808,11.36615044,2.1017699115044,0.54078947368421,38,33,50,Daily,20.55,1,20.55,98,4.76885645
2018-03-13,2018-03-13,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3995,7.42928661,1.2265331664581,0.60571428571429,49,39,30,Daily,29.68,1,29.68,49,1.6509434
2018-03-12,2018-03-12,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3776,7.75423729,1.3241525423729,0.5856,50,44,30,Daily,29.28,,,,
2018-03-12,2018-03-12,"AU_onlineshopping_0226 - 2",23842724296480055,4167,6.98824094,1.3918886489081,0.50206896551724,58,53,30,Daily,29.12,,,,
2018-03-11,2018-03-11,"AU_onlineshopping_0226 - 2",23842724296480055,3790,8.02638522,1.1345646437995,0.70744186046512,43,35,30,Daily,30.42,2,15.21,98,3.22156476
2018-03-11,2018-03-11,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3120,9.81089744,1.7307692307692,0.56685185185185,54,47,30,Daily,30.61,1,30.61,49,1.60078406
2018-03-10,2018-03-10,Latin_onlineshopping_0219,23842725063090055,19866,1.23779321,0.95137420718816,0.13010582010582,189,137,30,Daily,24.59,1,24.59,98,3.9853599
2018-03-10,2018-03-10,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3638,8.5568994,1.4843320505772,0.57648148148148,54,41,30,Daily,31.13,2,15.565,98,3.14808866
2018-03-10,2018-03-10,"AU_onlineshopping_0226 - 2",23842724296480055,3525,8.87659574,1.1914893617021,0.745,42,34,30,Daily,31.29,,,,
2018-03-10,2018-03-10,US_Survey2%_0109_xin,23842724983090055,1554,16.2033462,1.2870012870013,1.259,20,16,30,Daily,25.18,,,,
2018-03-09,2018-03-09,"AU_onlineshopping_0226 - 2",23842724296480055,3115,9.41252006,1.2520064205457,0.75179487179487,39,33,30,Daily,29.32,1,29.32,49,1.67121419
